match_id,phase,game_no,home_team,away_team,status,home_source_type,home_source_match,away_source_type,away_source_match,home_score,away_score,date,time
R32-01,32 avos de final,1,África do Sul,Canadá,Definido,,,,,,,,
R32-02,32 avos de final,2,Alemanha,Paraguai,Definido,,,,,,,,
R32-03,32 avos de final,3,Holanda,Marrocos,Definido,,,,,,,,
R32-04,32 avos de final,4,Brasil,Japão,Definido,,,,,,,,
R32-05,32 avos de final,5,Costa do Marfim,Noruega,Definido,,,,,,,,
R32-06,32 avos de final,6,França,Suécia,Definido,,,,,,,,
R32-07,32 avos de final,7,México,Melhor 3º (C/E/F/H/I),Parcial,,,,,,,,
R32-08,32 avos de final,8,1º Grupo L,Melhor 3º (E/H/I/J/K),Pendente,,,,,,,,
R32-09,32 avos de final,9,Bélgica,Melhor 3º (A/E/H/I/J),Parcial,,,,,,,,
R32-10,32 avos de final,10,Estados Unidos,Bósnia e Herzegovina,Definido,,,,,,,,
R32-11,32 avos de final,11,Espanha,2º Grupo J,Pendente,,,,,,,,
R32-12,32 avos de final,12,2º Grupo K,2º Grupo L,Pendente,,,,,,,,
R32-13,32 avos de final,13,Suíça,Melhor 3º (E/F/G/I/J),Parcial,,,,,,,,
R32-14,32 avos de final,14,Austrália,Egito,Definido,,,,,,,,
R32-15,32 avos de final,15,Argentina,Cabo Verde,Definido,,,,,,,,
R32-16,32 avos de final,16,1º Grupo K,Melhor 3º (D/E/I/J/L),Pendente,,,,,,,,
R16-01,Oitavas de final,1,,,Pendente,V,R32-01,V,R32-03,,,,
R16-02,Oitavas de final,2,,,Pendente,V,R32-02,V,R32-06,,,,
R16-03,Oitavas de final,3,,,Pendente,V,R32-04,V,R32-05,,,,
R16-04,Oitavas de final,4,,,Pendente,V,R32-07,V,R32-08,,,,
R16-05,Oitavas de final,5,,,Pendente,V,R32-09,V,R32-10,,,,
R16-06,Oitavas de final,6,,,Pendente,V,R32-11,V,R32-12,,,,
R16-07,Oitavas de final,7,,,Pendente,V,R32-13,V,R32-15,,,,
R16-08,Oitavas de final,8,,,Pendente,V,R32-14,V,R32-16,,,,
QF-01,Quartas de final,1,,,Pendente,V,R16-01,V,R16-02,,,,
QF-02,Quartas de final,2,,,Pendente,V,R16-03,V,R16-04,,,,
QF-03,Quartas de final,3,,,Pendente,V,R16-05,V,R16-06,,,,
QF-04,Quartas de final,4,,,Pendente,V,R16-07,V,R16-08,,,,
SF-01,Semi final,1,,,Pendente,V,QF-01,V,QF-02,,,,
SF-02,Semi final,2,,,Pendente,V,QF-03,V,QF-04,,,,
FINAL,Final,1,,,Pendente,V,SF-01,V,SF-02,,,,
3LUGAR,Disputa de 3º Lugar,1,,,Pendente,P,SF-01,P,SF-02,,,,